# Logfile created on 2025-08-28 21:26:03 +0900 by logger.rb/v1.5.3
2025-08-28 21:26:03 +0900: Memory Usage (495396K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:26:03 +0900: Memory Usage (495396K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : Loading database to memory is complete.
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_gatpoly.lyrdb
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : Evaluate switches.
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : table_name selected  gatpoly
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : Klayout will use 10 thread(s)
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : flat mode is enabled for gatpoly table.
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : FEOL enabled: true
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : BEOL enabled: true
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : OffGrid enabled: true
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : PreCheck DRC enabled: false
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : CONNECTIVITY_RULES enabled: false for table gatpoly
2025-08-28 21:26:04 +0900: Memory Usage (541108K) : Read in polygons from layers.
2025-08-28 21:26:11 +0900: Memory Usage (550436K) : activ_drw has 10081 polygons
2025-08-28 21:26:11 +0900: Memory Usage (550436K) : activ_pin has 0 polygons
2025-08-28 21:26:11 +0900: Memory Usage (550436K) : activ_mask has 0 polygons
2025-08-28 21:26:12 +0900: Memory Usage (550436K) : activ_filler has 30337 polygons
2025-08-28 21:26:12 +0900: Memory Usage (550436K) : activ_nofill has 0 polygons
2025-08-28 21:26:12 +0900: Memory Usage (550436K) : activ_opc has 0 polygons
2025-08-28 21:26:12 +0900: Memory Usage (550436K) : activ_iopc has 0 polygons
2025-08-28 21:26:12 +0900: Memory Usage (550436K) : activ_noqrc has 0 polygons
2025-08-28 21:26:12 +0900: Memory Usage (550436K) : biwind_drw has 0 polygons
2025-08-28 21:26:12 +0900: Memory Usage (550436K) : biwind_opc has 0 polygons
2025-08-28 21:26:12 +0900: Memory Usage (550436K) : pemwind_drw has 0 polygons
2025-08-28 21:26:21 +0900: Memory Usage (616624K) : gatpoly_drw has 23583 polygons
2025-08-28 21:26:21 +0900: Memory Usage (616624K) : gatpoly_pin has 0 polygons
2025-08-28 21:26:22 +0900: Memory Usage (616624K) : gatpoly_filler has 30337 polygons
2025-08-28 21:26:22 +0900: Memory Usage (616624K) : gatpoly_nofill has 0 polygons
2025-08-28 21:26:22 +0900: Memory Usage (616624K) : gatpoly_opc has 0 polygons
2025-08-28 21:26:22 +0900: Memory Usage (616624K) : gatpoly_iopc has 0 polygons
2025-08-28 21:26:22 +0900: Memory Usage (616624K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:27:53 +0900: Memory Usage (950812K) : cont_drw has 2901899 polygons
2025-08-28 21:27:53 +0900: Memory Usage (950812K) : cont_opc has 0 polygons
2025-08-28 21:27:53 +0900: Memory Usage (950812K) : nsd_drw has 0 polygons
2025-08-28 21:27:53 +0900: Memory Usage (950812K) : nsd_block has 0 polygons
2025-08-28 21:28:04 +0900: Memory Usage (973084K) : metal1_drw has 16153 polygons
2025-08-28 21:28:05 +0900: Memory Usage (973084K) : metal1_pin has 794 polygons
2025-08-28 21:28:05 +0900: Memory Usage (973084K) : metal1_mask has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973084K) : metal1_filler has 60876 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973084K) : metal1_nofill has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973084K) : metal1_slit has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : metal1_text has 85780 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : metal1_opc has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : metal1_noqrc has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : metal1_res has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : metal1_iprobe has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : metal1_diffprb has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : passiv_drw has 39 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : passiv_pin has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : passiv_sbump has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : passiv_pillar has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973384K) : passiv_pdl has 0 polygons
2025-08-28 21:28:10 +0900: Memory Usage (973384K) : metal2_drw has 9306 polygons
2025-08-28 21:28:10 +0900: Memory Usage (973384K) : metal2_pin has 691 polygons
2025-08-28 21:28:10 +0900: Memory Usage (973384K) : metal2_mask has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : metal2_filler has 66402 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : metal2_nofill has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : metal2_slit has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : metal2_text has 1251 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : metal2_opc has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : metal2_noqrc has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : metal2_res has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : metal2_iprobe has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : metal2_diffprb has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : baspoly_drw has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973384K) : baspoly_pin has 0 polygons
2025-08-28 21:28:16 +0900: Memory Usage (973384K) : psd_drw has 1631 polygons
2025-08-28 21:28:16 +0900: Memory Usage (973384K) : nldb_drw has 0 polygons
2025-08-28 21:28:16 +0900: Memory Usage (973384K) : digibnd_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : via1_drw has 109916 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_pin has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_mask has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_filler has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_nofill has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_slit has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_text has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_opc has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_noqrc has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_res has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_iprobe has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backmetal1_diffprb has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : backpassiv_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : res_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : sram_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973384K) : trans_drw has 0 polygons
